學號,課程屬性名稱,分發代碼,結束的分發時間,志願序,籤號,選課的結果,學期別,課號,學生班別,學生所屬系所,學生性別,學生年級
936ddb03e07c17327594f82d06128089ec20a3a89a811c91e9de63dc2a61ef4b,必修,463,2018-03-02,1,77,中選(初選),1062,21003,,化學學系,男,1
40b591caabdbbf010049b36ddef976a58faf7333a95275346052acdd26778bbd,必修,463,2018-03-02,1,79,中選(初選),1062,21003,,物理學系,男,1
06cd862b0d8ab2f80843c8dd6141be22cbbd32abb4582b2300dd048f6d897f53,必修,463,2018-03-02,1,80,中選(初選),1062,21003,,化學學系,男,1
da71ccc4a0cc19fcbb5f9fc0ac829f43d55100cc7c8994c7451f063d540ae07d,必修,463,2018-03-02,1,82,中選(初選),1062,21003,,光電科學與工程學系,女,1
234e075aca1d0e7621a11fd4988c8b35cc0aef225b76f6e2ec9193895fd0af86,必修,463,2018-03-02,1,85,中選(初選),1062,21003,,光電科學與工程學系,男,1
8457066376258bc5b2f4764f12e8ecf829b67d585287abcd71f87ada730d332d,必修,463,2018-03-02,1,86,中選(初選),1062,21003,,物理學系,男,3
2b5926c6f97121f17d053a79f5786376e8529d74a1d6d5ed2cf22671b48ee562,必修,463,2018-03-02,1,92,中選(初選),1062,21003,,化學學系,男,1
db52f12a63c50fdb0d5956239be0e9778495ecd07e81e70f1c0c4bcc2ad651cf,必修,463,2018-03-02,1,96,中選(初選),1062,21003,,物理學系,男,3
e1090feb3a708ef84fd468aec1aaee68278bd3098bdc79ab1a0b48876352c947,必修,463,2018-03-02,1,101,中選(初選),1062,21003,,化學學系,女,1
169d4fd28bd73c73ca08277fa111b66d214cba96f509668b53212577a03468b4,必修,463,2018-03-02,1,102,中選(初選),1062,21003,,光電科學與工程學系,男,1
7556da480328681553ccb2a70d76e9eb13d03b0ecf0f5cd7bd5a28341e19bba4,必修,463,2018-03-02,1,104,中選(初選),1062,21003,,物理學系,男,1
4c927c24b9d7ddd80637d65679100e52d262d9108ebec19fc263f5a123e3428c,必修,463,2018-03-02,1,105,中選(初選),1062,21003,,化學學系,女,1
cdf5ae2066ba79103037a6e6e6bb21930cbdc1252b560b3f0d5ef64f19d935db,必修,463,2018-03-02,1,106,中選(初選),1062,21003,,物理學系,男,2
2708ef0489d0940b5f92da15ffea8955ae2ea419daa3743dc74ca918301d064c,必修,463,2018-03-02,1,107,中選(初選),1062,21003,,化學學系,女,1
fa65793aaf0d62054960efd606ed19f05e7c9aa45a44dddc10bec0507bde5466,必修,463,2018-03-02,1,108,中選(初選),1062,21003,,光電科學與工程學系,女,1
96fb2a5d25ea71922ef20db43286ca967fafd47e5e904d71b6e5e37322c39277,必修,463,2018-03-02,1,109,中選(初選),1062,21003,,化學學系,女,1
