學號,學院,學院代碼,系所名稱,系所代號,年級班別,年級班別代碼,組別名稱,組別代碼,學年學期,學制,學制代碼
e4e1e25cdfcc3ef45ddf26e0624622d2ef5b69c901bbd385248c95a4357b3633,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
2bc5dee330277ef87dfd612f57c0620b6cc298cdfcaa40217714f309b54bd267,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
2a6945982a1dc0ade04c33d3e88168588733752fc4fb62cd7bc1af59724e28c1,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
0b30dab8187430de5b552364341cc3d6d5cc2e8fe34a0d7fc23be120d55b609c,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
4933be6f53dcdbaff995d4a87c1612b7c3395ab185ac49bb3c773fb48cb21115,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
2790bbe6b5cf33aae73cfa78cf1234b62da8dfc2257ad1b3539c776777b5413a,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
fe4128ea73d205b7281b787dee1b79e276f8f002da04e425c740fd567c4aae2f,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
d2fe2d4ccf9a91831616adac8076eecb40ad8017cdd337c54d37940c291fd2fd,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
edbb76bc3efedea952d83b7703adf0952c38127e82386632519528d3b28e6558,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
744b53f7a2bce2793e5ff08792d8a6c7d290b758cc800c4e73acc57012ae059e,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
9a2ba1e75f17113405e79dd5e06577f2ef2da53daf235d4b31eae63c08907575,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
d2bc8ab36dbf30d1b7e95fcb594c2585491f894648046c67fcbc4fcb761667c2,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
6a55ad0de3269a014f28c50bca491c256404204cf13b131b704476d915249931,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
e7d6007cbc2c73b985a4d4be11f1a3429cebf481e43814c58476d6a79ee73b96,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
0749cee4d16ab4ceedac259c370bfb4b84091f0b8373ba7f0a85fb433ddccba5,地球科學學院,6,地球科學學系,6002,3年級,"3  ",,"0  ",1022,"學士班              ",1
984fb45c78f2c759979152833771ea71283170387212862222b736a598988789,地球科學學院,6,地球科學學系,6002,3年級,"3  ",,"0  ",1022,"學士班              ",1
ee559a6a6729e0c7ab938cafdd2e598ac425ce496ca44e2f4ddb0682a9ed60a3,地球科學學院,6,地球科學學系,6002,3年級,"3  ",,"0  ",1022,"學士班              ",1
b560252cd8e8612339af1024d94cd603e8f43af3c8630ed217bcb7df8f512208,地球科學學院,6,地球科學學系,6002,3年級,"3  ",,"0  ",1022,"學士班              ",1
86439d54581ec3bf567544dc645b6bcca15bff3422da49ecab44b23bef0b71a7,地球科學學院,6,地球科學學系,6002,3年級,"3  ",,"0  ",1022,"學士班              ",1
c2800711e58a74d363948eb3b236192b2f6967a72be7d34fc259701d90bf71df,地球科學學院,6,地球科學學系,6002,3年級,"3  ",,"0  ",1022,"學士班              ",1
e41cb391aa74fc5405c804e277778cf2908d9ef5e385af4285fa8b3d76ff8c00,地球科學學院,6,地球科學學系,6002,3年級,"3  ",,"0  ",1022,"學士班              ",1
9f9589664155dcba745473c5f17623e5257a5f7fb11bea2194685ac27ce2003d,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
ee941158b7baad19133cee9f08e316b0c8d3061b2e427a020f2a1a4d47034d3f,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
16e2595ea4c26677aa7f7b8b43a09c93b2f21cfe763b2d7e732471b998da09b0,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
3c0e9c773f4c6a2b8ba08a205c9efa5df05d30821da657dcf130646a96b8b3f2,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
204dae9d105306e5591fb356462ada93c255015fb0867776aa993974bc25fccd,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
116cc581331d89f732830fa277d628837d8e6c7c06d23f26b4d2b3181e3407b8,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
f5ce799e88a117bed4512b4029eeb535402f18434903d8e550e470779854555f,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
baad8dc027f7a0be456f159761ae0e50d1e345b59c17fe31f5bf121c91ef5da1,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
24fc9b36666abe50d4a1f74fc7b669a314ad4938f2bd9dec12da9919d79fe57a,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
179860df6f0dfb74dcf3722395951848be507301b3bb559b6b184a6c7a29f398,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
b3b16e2de5cd6b888e5b9782a36768b89c78490103fefd724b870e5f3ca96e92,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
b3eedd82b883789818c362e5c5996d697af8db89e0fa862d7beb31f9e4a51aaa,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
3b860fbdae3a20244e1ef200a2c0ffdce06fcdffd1e2dff3c9b3050dd82a843f,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
94f2f32c599e6b85ab5bec89276b55a36ece0f6560f157254c667026641ead5c,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
776946ccaf71bea7c0e14c2fdd0cca207f6de37daab90c35f9e7c6e3c99a2067,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
e9a389002add88c8490920dcd378470e3c0c9cff1311029eb808100904cf3cb8,文學院,1,中國文學系,1001,3年級,"3  ",,"0  ",1022,"學士班              ",1
03761ccda98460146b70167c6c2ef7bb28b529c1bd9f8e12ef42ac423e905ab8,地球科學學院,6,地球科學學系,6002,3年級,"3  ",,"0  ",1022,"學士班              ",1
3ea827fb56cb420e0843b4338f9b0272b7804e95138196b85cf8c0e18c48ce62,地球科學學院,6,地球科學學系,6002,3年級,"3  ",,"0  ",1022,"學士班              ",1
cbdd9db24470c8d6ac96a425ab38ef4ad6f113ddc597cbaf6540c4a6073945d4,地球科學學院,6,地球科學學系,6002,3年級,"3  ",,"0  ",1022,"學士班              ",1
e94309f46176fbe550743908e43940c21deff99831f21bc034d91a9e11c5f33f,地球科學學院,6,地球科學學系,6002,2年級,"2  ",,"0  ",1022,"學士班              ",1
