學號,學院,學院代碼,系所名稱,系所代號,年級班別,年級班別代碼,組別名稱,組別代碼,學年學期,學制,學制代碼
e4e1e25cdfcc3ef45ddf26e0624622d2ef5b69c901bbd385248c95a4357b3633,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
cbdd9db24470c8d6ac96a425ab38ef4ad6f113ddc597cbaf6540c4a6073945d4,地球科學學院,6,地球科學學系,6002,4年級,"4  ",,"0  ",1051,"學士班              ",1
32bbe8a50bcb3dd5785c8742226cd9e5d5321eaac4783378779c30d8bd4ab4c0,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
b67471f65d434772adc985d9a1326b7cc200f17e8b50b499116869a0f120bc86,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
0de6ff62ab01a895a2fb447ff6dad65dd21bd8f4c3a659616178badc90423224,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
5d42e2cab719b25fcb57c158c9963fc7b16b6aca44deb349c5617832921c99f4,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
1cf5fd3bdb0f7fb71cff02e38e0da022abb011e947be9a8336355788dfa8c6bf,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
43fdefe0085c937a32f8abd15cef639ad9a812cbcf963b6611473fbd4726db89,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
9272e446243b9f2f635ada0d545581dcdf62869134438bdf92948ec8357d2c1d,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
9f2a5bb16bc5dc2ab9e42ce445917767c3703269e54bf1cf914d9d4787fb77ab,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
a307e2f166d9cc2153c3c84add93dcdd4cc8c28fb7943b02b064b308c2d74575,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
f78840fe129d96e1d8ba1b8beccd17a557dadac0fd21440142421b044fd0dcbd,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
39857c87fc5667ee38aaea81e04739cc919167ed01bd9d25e3141424cfda9507,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
a034231707d0c13e7edb063ab8ca1704f4a5722c7fa056b9248c6854b570746f,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1051,"學士班              ",1
2b4b29e730712ea9dae8b726cec59291b6f0dd95bf97a8084d94e3be74ae9e60,工學院,3,土木工程學系碩士在職專班,3302,3年級,"3  ",,"0  ",1051,"碩士在職專班        ",3
7f64c1d0a20339d00379559ae824cf0fa1dcc161bee6b6d28a5a2c02cc3c9bcf,工學院,3,土木工程學系碩士在職專班,3302,5年級,"5  ",,"0  ",1051,"碩士在職專班        ",3
f790464a37148cdc63878f527ad7b0799e2b3e1d55fcf10a37bcf463bee2682d,地球科學學院,6,太空科學研究所博士班,6403,6年級,"6  ",,"0  ",1051,"博士班              ",4
59891356ae8d39f6ba064990778c869328b755287f8215f7e16f86bd70c35951,地球科學學院,6,太空科學研究所博士班,6403,6年級,"6  ",,"0  ",1051,"博士班              ",4
0b83aab77ef48eea4c4ae2645d4f788b5430665b23f6a03974b982cc531b15b2,地球科學學院,6,太空科學研究所博士班,6403,6年級,"6  ",,"0  ",1051,"博士班              ",4
81d1cd2b2cf5750ace66e52eba041256cd6b9012c9586a013de33a312e6b9f09,地球科學學院,6,太空科學研究所博士班,6403,6年級,"6  ",,"0  ",1051,"博士班              ",4
cff89a458f8ec5ea2dd534d87a48a5ab2a31df421fe8e623ed07a0fc02efd17c,地球科學學院,6,太空科學研究所博士班,6403,6年級,"6  ",,"0  ",1051,"博士班              ",4
655705ba84ecb50723ebf34f833d0bf5968cd650d78fdbaf35f140507f4be40c,地球科學學院,6,太空科學研究所博士班,6403,6年級,"6  ",,"0  ",1051,"博士班              ",4
96ff88bee0c69ef1b1fa70f56fa0cffe0ab839e3ddb2cdaaecf64bbd6cf985f5,客家學院,7,客家語文暨社會科學學系客家社會文化碩士班,7207,4年級,"4  ",,"0  ",1051,"碩士班              ",2
9c8dde0186d6ebb5a4cca271ad8f7dd6da7862a397c54dc244a0c7c8ffe0d0be,文學院,1,法國語文學系,1003,4年級,"4  ",,"0  ",1051,"學士班              ",1
742f997c9b399ebd68995db4c9d3c22f4f8f43346266b7b3fb53d321014ffee3,工學院,3,機械工程學系碩士在職專班,3303,3年級,"3  ",,"0  ",1051,"碩士在職專班        ",3
24a35573045b69f45e8b59bc36dccc1889efca6a6f51ada7a2a5e79dc21310ed,工學院,3,機械工程學系碩士在職專班,3303,4年級,"4  ",,"0  ",1051,"碩士在職專班        ",3
39e91946383206e07512e76af17bc376703ea1bfda89ec62a7700b87989df3de,理學院,2,數學系博士班,2401,5年級,"5  ",,"0  ",1051,"博士班              ",4
58aba0a3bc36421d6233ad3edbaf17055a93d254443695bb788c6e7b50cb01d6,理學院,2,數學系博士班,2401,5年級,"5  ",,"0  ",1051,"博士班              ",4
c2382f8560654a8bb4ab9a10f6cd486703184180dd16ee266e6eb4557e9c3a00,文學院,1,歷史研究所碩士班,1205,4年級,"4  ",,"0  ",1051,"碩士班              ",2
e4b7d59bbd1a4d5acd98ed0ab8d02e02b886073a0f6e514a06bc53a4ce311748,工學院,3,機械工程學系碩士在職專班,3303,5年級,"5  ",,"0  ",1051,"碩士在職專班        ",3
e6d941356fac71f467f00876d049e72c0e820c8228428f381a044afdcd16d2ff,工學院,3,機械工程學系碩士在職專班,3303,5年級,"5  ",,"0  ",1051,"碩士在職專班        ",3
2e35978ad95df078f9489c097779071ae4684520f756788110bf2351478817c9,資訊電機學院,5,電機工程學系博士班,5401,4年級,"4  ",,"0  ",1051,"博士班              ",4
2d7673afef34ef141a0ca02f1c28ecf739adf1e4627bebe79d9f6c72706905e4,資訊電機學院,5,資訊工程學系碩士在職專班,5302,4年級,"4  ",,"0  ",1051,"碩士在職專班        ",3
48f409299ffbfdf945300933f57f4f4876d71cf54a89f494f7cafa0c6b0561f0,生醫理工學院,8,認知神經科學研究所博士班,8405,5年級,"5  ",,"0  ",1051,"博士班              ",4
1aed624c6bffdf407d23dc77ba48b8b90ec7a9aa3be0402541c5c8fb5d54ff5d,工學院,3,化學工程與材料工程學系博士班,3404,4年級,"4  ",,"0  ",1051,"博士班              ",4
c735b74b68bbdeda5f4eb2378622b6f907b62dc94890fb97f123211e91765780,工學院,3,化學工程與材料工程學系博士班,3404,4年級,"4  ",,"0  ",1051,"博士班              ",4
31d3596722186225006546f31db3b08a0488be5ac42b01f4c03c3e46498201be,工學院,3,化學工程與材料工程學系博士班,3404,4年級,"4  ",,"0  ",1051,"博士班              ",4
5309f7e3269c8f075ca9e0ec377e83ba8bbfc182c8f1b76d5a7c4aa2ad625fed,工學院,3,化學工程與材料工程學系博士班,3404,4年級,"4  ",,"0  ",1051,"博士班              ",4
597c7add65cdfb2d03d5761e2c2b0a72f7b16f001fa545af2bcd093246b28c8f,工學院,3,化學工程與材料工程學系博士班,3404,5年級,"5  ",,"0  ",1051,"博士班              ",4
bed31bcd0b75af98bcfcfd1906f4e79a330ee1a6b2fcff51d03430b0107dbcc3,工學院,3,化學工程與材料工程學系博士班,3404,4年級,"4  ",,"0  ",1051,"博士班              ",4
67e0781e4d3160934479d77b72346c940708fa511b23e6f9374cc4b7071f78cd,工學院,3,機械工程學系碩士在職專班,3303,5年級,"5  ",,"0  ",1051,"碩士在職專班        ",3
20f6d802b6ed34381f370aa11c96ac1760628ced273f9de0404f84e392dee640,工學院,3,土木工程學系,3002,4年級1班,"41 ",,"0  ",1051,"學士班              ",1
3e6ad61bb0dd23a08c1086d1f067b460f7e74f7bbb6dd258e548d2a634820c6e,工學院,3,機械工程學系碩士班,3203,3年級,"3  ",,"0  ",1051,"碩士班              ",2
3863ccb3d57eb5caeb8f5e5f685314efe0765eb5aeb4e099022a129961084cb1,理學院,2,數學系,2001,4年級1班,"41 ",,"0  ",1051,"學士班              ",1
bf871204e03936318cf43b7994ab84004c999a31b13c9bc466d5b971d5b5e930,資訊電機學院,5,資訊工程學系碩士在職專班,5302,4年級,"4  ",,"0  ",1051,"碩士在職專班        ",3
7b2c1579ea00b1da31c37bea8b2f35fe9764a37aedeabe70460b2d94e5858ce4,管理學院,4,管理學院高階主管企管碩士班,4300,5年級2班,"52 ",兩岸經營管理組,"3  ",1051,"碩士在職專班        ",3
5bb8a564154d264e4e7d9d075e3d4c50b2de9b6958ee75079aefe30443879d71,文學院,1,歷史研究所碩士班,1205,3年級,"3  ",,"0  ",1051,"碩士班              ",2
f221e4624b7ee432e7b88ebe13ebbad48d252755f5c0ff086863146865d2de18,文學院,1,歷史研究所碩士班,1205,3年級,"3  ",,"0  ",1051,"碩士班              ",2
a37aa7e3243cffc6152b9e2a5f483faaf76ed6888c738aa2fc1781459ca6aa6d,文學院,1,歷史研究所碩士班,1205,3年級,"3  ",,"0  ",1051,"碩士班              ",2
280d3b0e3bcf129385aa18381077f112fe50836b592f94d14908a0139b364b18,文學院,1,歷史研究所碩士班,1205,3年級,"3  ",,"0  ",1051,"碩士班              ",2
cab95c88a5f84fadf2473ac0ef1ce411efc742e8e20f531986f3ccc20d75d881,文學院,1,歷史研究所碩士班,1205,3年級,"3  ",,"0  ",1051,"碩士班              ",2
43021a66aa63cc8d32eef40e5bfa7f8e734923b69978f7fe45b179eee757e377,文學院,1,歷史研究所碩士班,1205,2年級,"2  ",,"0  ",1051,"碩士班              ",2
37b8f1cf181d3c6a2908adc9a688c3baaa1dc55bc2d4fb1b45fb70cdbf042f79,文學院,1,歷史研究所碩士班,1205,3年級,"3  ",,"0  ",1051,"碩士班              ",2
33aeef6ae1f266e9ecedfca632d3595be82097fcb537778acb57360039ec8f5a,文學院,1,歷史研究所碩士班,1205,3年級,"3  ",,"0  ",1051,"碩士班              ",2
7b6ecc65c50daa35acc5d84c482f2f0fa00fa2debcf4cc80b0cd48c1747fdb0b,工學院,3,土木工程學系,3002,4年級1班,"41 ",,"0  ",1051,"學士班              ",1
08c415bfe57f3c870d8f828cc2ac2104ebd704a570e73bf836ad68202e6c231a,工學院,3,土木工程學系,3002,4年級1班,"41 ",,"0  ",1051,"學士班              ",1
96b2feeef4cc9386c4d64d4513d6cbebaed1119ad899c7ca5d4ec7f2f2ac9a58,工學院,3,機械工程學系光機電工程博士班,3407,4年級,"4  ",,"0  ",1051,"博士班              ",4
8d589c2b56bba4055b5ace9ea6a6e5d3769a248b48d04e0ab069a69c5679e4cb,工學院,3,土木工程學系,3002,4年級1班,"41 ",,"0  ",1051,"學士班              ",1
336c5ada7f6d72f6007af313c2fd56dc8579197b51e67ee67a9fbc02ac19a1d4,工學院,3,土木工程學系,3002,4年級1班,"41 ",,"0  ",1051,"學士班              ",1
26257bba0b26e997806c07d238d7a59fea3d7477c15f8f86852e7893039c3d94,文學院,1,哲學研究所碩士在職專班,1304,4年級,"4  ",,"0  ",1051,"碩士在職專班        ",3
42d7a1120baa63cd058a18e66b434052e8ae546e6410c7b23a8ef373b974de7e,文學院,1,哲學研究所碩士在職專班,1304,5年級,"5  ",,"0  ",1051,"碩士在職專班        ",3
ea96d7f76868e296ac145d574e0cdc556d75aaeb2d7d5be79b72a8962a77ca8a,資訊電機學院,5,資訊工程學系,5002,4年級2班,"42 ",,"0  ",1051,"學士班              ",1
b25986e29fc6944ca7f6e8a2e0367e7c9cf1612f1872383e48008b8ea765c0b3,資訊電機學院,5,資訊工程學系碩士在職專班,5302,5年級,"5  ",,"0  ",1051,"碩士在職專班        ",3
e756f60a42e6a0656ede3c58643ae5ac821e13bf8f1fa915ab67cf3d165501e8,資訊電機學院,5,資訊工程學系碩士在職專班,5302,5年級,"5  ",,"0  ",1051,"碩士在職專班        ",3
aa1e1173d4aacb3dd91893cf8921256eae80cfd51cc9b62f12020fe8017d74d7,工學院,3,土木工程學系,3002,4年級1班,"41 ",,"0  ",1051,"學士班              ",1
08cf96217ac338eb3187e23de663ec2f6f92a92f1634d6db493f73e379fed45f,工學院,3,土木工程學系,3002,4年級2班,"42 ",,"0  ",1051,"學士班              ",1
9c1f7688a3471f8fb903b502a514cd451cfed01ef9835158d4c5e08a2f6cc07b,工學院,3,土木工程學系,3002,4年級2班,"42 ",,"0  ",1051,"學士班              ",1
0ca9dc0e180c0c41c46ffc651c878992e4aa376a15f3a332b0ed61141734bec0,管理學院,4,管理學院高階主管企管碩士班,4300,5年級2班,"52 ",兩岸經營管理組,"3  ",1051,"碩士在職專班        ",3
547836734eef515419400aaaced84d2f8a5eec9447e29371b2e33561e6742c17,理學院,2,數學系,2001,4年級1班,"41 ",,"0  ",1051,"學士班              ",1
16ee541974af708b195f7f42dc498d7c7e06313181922fbb594bf430418013c7,理學院,2,數學系,2001,4年級1班,"41 ",,"0  ",1051,"學士班              ",1
c7c361c0b738b01c44ec10bced4d5a1aee37b911b3e3e26a40db66e07112fd4e,文學院,1,英美語文學系,1002,4年級,"4  ",,"0  ",1051,"學士班              ",1
5b051fe33bae65c7ed1e720dc80bfba393e881588eec7498d6d4f589024a8596,文學院,1,英美語文學系,1002,4年級,"4  ",,"0  ",1051,"學士班              ",1
