學號,課程屬性名稱,分發代碼,結束的分發時間,志願序,籤號,選課的結果,學期別,課號,學生班別,學生所屬系所,學生性別,學生年級
e7080b2acc2173021f1f168f7ab0408cde8844765569b235232c80da6313b15a,選修,362,2015-09-21,1,1,中選,1041,77021,,光電科學與工程學系,男,4
5d3a11db609d2430cfd9ef8471f8f98470165c5a4943b8a3a098173c74b34270,選修,362,2015-09-21,1,1,中選,1041,79001,,客家語文暨社會科學學系客家研究博士班,女,1
551a9407b2f6cd19ee111fb57e4877724e046ba8cdc0f0bd726ea5bcaaf0ec61,選修,362,2015-09-21,1,1,中選,1041,79001,,客家語文暨社會科學學系客家研究博士班,女,1
5d3a11db609d2430cfd9ef8471f8f98470165c5a4943b8a3a098173c74b34270,必修,362,2015-09-21,1,1,中選,1041,79002,,客家語文暨社會科學學系客家研究博士班,女,1
647f9397232f89e60b8e204f1faac6515a157b51374f209dd657220fc566e142,必修,362,2015-09-21,1,2,中選,1041,79002,,客家語文暨社會科學學系客家研究博士班,女,1
3328df588e2c47fe9953d08f24f50793ce5a848e5615dabf117da9969877255c,選修,362,2015-09-21,1,1,中選,1041,79003,,客家語文暨社會科學學系客家研究博士班,女,2
4ff3816fb7feb5fedfe94ebdca39bee60d48f8ef52449a7371106356d554760a,選修,362,2015-09-21,1,1,中選(初選),1041,79003,,客家語文暨社會科學學系客家研究博士班,男,2
2f38fc0ecd326992159805826a059abb81d44028261e227ea711e43807f16793,選修,362,2015-09-21,1,2,中選,1041,79003,,客家語文暨社會科學學系客家研究博士班,男,1
bf551909f6f4aaab7103bc6ab0299995480ae9a407770ace3f9723a6ad1b1c75,選修,362,2015-09-21,1,3,中選,1041,79003,,客家語文暨社會科學學系客家研究博士班,男,2
dde7119b5d1bd425fffa7fe34c1bc2d30271200f420e655ae67fa4d9bf2fc580,選修,362,2015-09-21,1,1,中選,1041,79004,,客家語文暨社會科學學系客家研究博士班,女,4
ab518c54bb84133086697e9e479ec4cb6c6960fcc63740d4e9e87da1f939642d,選修,362,2015-09-21,1,1,中選,1041,79004,,客家語文暨社會科學學系客家語文碩士班,男,3
6053ab74fbf86430d3d6aeb60134f73a54227e7b47dd052f4dde624870e3c9b3,選修,362,2015-09-21,1,1,中選,1041,79004,,客家語文暨社會科學學系客家研究博士班,男,3
961a6c15db0727f1caf27e154dac6bcefc55aff6cb58b75c5e3070cf280456de,選修,362,2015-09-21,1,1,中選(初選),1041,79004,,客家語文暨社會科學學系客家研究博士班,女,3
551a9407b2f6cd19ee111fb57e4877724e046ba8cdc0f0bd726ea5bcaaf0ec61,選修,362,2015-09-21,1,1,中選,1041,79004,,客家語文暨社會科學學系客家研究博士班,女,1
2f38fc0ecd326992159805826a059abb81d44028261e227ea711e43807f16793,選修,362,2015-09-21,1,2,中選,1041,79004,,客家語文暨社會科學學系客家研究博士班,男,1
