學號,學院,學院代碼,系所名稱,系所代號,年級班別,年級班別代碼,組別名稱,組別代碼,學年學期,學制,學制代碼
e4e1e25cdfcc3ef45ddf26e0624622d2ef5b69c901bbd385248c95a4357b3633,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
0b30dab8187430de5b552364341cc3d6d5cc2e8fe34a0d7fc23be120d55b609c,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
94f2f32c599e6b85ab5bec89276b55a36ece0f6560f157254c667026641ead5c,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
e9a389002add88c8490920dcd378470e3c0c9cff1311029eb808100904cf3cb8,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
cbdd9db24470c8d6ac96a425ab38ef4ad6f113ddc597cbaf6540c4a6073945d4,地球科學學院,6,地球科學學系,6002,4年級,"4  ",,"0  ",1042,"學士班              ",1
32bbe8a50bcb3dd5785c8742226cd9e5d5321eaac4783378779c30d8bd4ab4c0,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
b67471f65d434772adc985d9a1326b7cc200f17e8b50b499116869a0f120bc86,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
f03a3691e99b207a1082bb100fd77595791fbf0a79cbd19a2d9161fe263ccf94,地球科學學院,6,地球科學學系,6002,4年級,"4  ",,"0  ",1042,"學士班              ",1
c6c9e3f50423fde164601aa772964035399fa574d487815e4b61547359621579,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
5a4434b31587f2344b0f5bf12e70b736703e16d85f5ae5db36158e5835cd01aa,地球科學學院,6,地球科學學系,6002,4年級,"4  ",,"0  ",1042,"學士班              ",1
0de6ff62ab01a895a2fb447ff6dad65dd21bd8f4c3a659616178badc90423224,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
5d42e2cab719b25fcb57c158c9963fc7b16b6aca44deb349c5617832921c99f4,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
e27d3d71ec9cef02594523c3a5a6d80255cc77e49265470cff9d030e144751eb,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
17e75d40034773a6427f3306e7784ca0d3dc6f249178f4e2b4f73f634d48c424,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
7e8ca885c6e393b66b9e2bce185626f7fe90c3cc7f6f8a68b3bbd03b57d43d7b,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
794be9950fdebc1dfe11092262b434f11e678542989f92f8f9b7126fbad6b3a4,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
1cf5fd3bdb0f7fb71cff02e38e0da022abb011e947be9a8336355788dfa8c6bf,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
d52895bccf934017f2952d37db7833bcdce537ead314ac58b699f49982355e0f,地球科學學院,6,地球科學學系,6002,4年級,"4  ",,"0  ",1042,"學士班              ",1
8b3b0f91f44c4f1ea609776e25feb34d53c12c8ddfd927ce1ba8919408d32c8f,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
0a7466b356828d13db37a77c3dd5b6034b71a7ff75f07879404314d452590308,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
da9f1bc71e72c2e298eceeb29391809b698e6347be0f087559f9d93938374d43,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
88b19495d7afe0f8d268698198eb21c2d3794e2f52aeafd3045d491b78cc181f,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
4f807874eb44fa5c4bcf0fa0cbbc213150cde4da14d6aeca20d890dc85682770,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
34c5ae764ea30d54a18575dc5ad62054f99f0e7b3c3807924d84e1b6cc802660,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
43fdefe0085c937a32f8abd15cef639ad9a812cbcf963b6611473fbd4726db89,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
9272e446243b9f2f635ada0d545581dcdf62869134438bdf92948ec8357d2c1d,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
649f57d94eea3ace269342e2078248ddb585671b83a7c728e1f2ebf84c3618d3,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
0d22c4894912fdeeef611e2317b464fb6ca8ed83d93eb116b6c493289067aaab,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
cf3a3feed722755f3c0ad893529c999959d5240f39a0993a263230def4ac92e6,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
2e8f9370814792c64716ed8a9ba3f724c3b362a3c5db512f7e0cd3e3c575edf3,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
3fabd1679c5d38effd6c3f00d08b859ce3f7c26c81bfba2087c627c04cb0befb,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
34aa5af9cc753630b6b8840329b284804cec5fbb624bfc980e4360766649c8cd,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
660520f868ad56289bded109028223f57bc85de3a9be096bb572de7ef1456719,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
9f2a5bb16bc5dc2ab9e42ce445917767c3703269e54bf1cf914d9d4787fb77ab,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
af73802995789b4ed1858efc033bfa8d0b8af4d8338eafd321accd2fa234bb82,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
ba544250469695d3dfcf2d355e5af2bb7c937a79fb55a703e71eedc1ec610082,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
4db402182085ceb0d0bfe664b9e1c41aff7e9ecc4bcf29a1a846f5f5d8df4f60,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
a3c7e3b6faf1854fd6993871fa0589c5a92ef2e981a6d0f34bda969fef14eb3a,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
d5372c4a35fc1d3d8d83d65271a98ffe231346671a509f325f6c3e892fe44a21,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
e005729091e21c8440a9912f5f49785396f7cdc07bad99fc3dd3b3c265f0053b,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
f2874330ff10cbf5de4fb5e831bf8cfac05b0a1886e12ca37c229295f5cb14c1,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
a307e2f166d9cc2153c3c84add93dcdd4cc8c28fb7943b02b064b308c2d74575,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
efd2ffde5b316f078b7437f5efaf138e3eff49a6dad53c00e543113c93fb98a5,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
557bb0e3f6a79b77473efaca0d605888254d3c0609321ee05964305793ae2f5c,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
d1a1e00aa7f5e750a7a6650027f7525920544fb077fe796d8206fca749f91a16,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
e49ffe82c3224c561c3f1c1dd5f1b8f19d8417492d3e29ae655b0569cc391608,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
8282060dfad7dc0a3d78dc35767d59f82f62e06a07d6e981d881ee10d5c639fa,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
72b19eaeb02e5bf80fede4c4ecc09b80b79f1d520a9108ec5491684c98b1aab4,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
b14bcd68c6bdf1a97eb2e738891a97286431c800e9b2e0f8bdb018741977751e,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
f78840fe129d96e1d8ba1b8beccd17a557dadac0fd21440142421b044fd0dcbd,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
7acc8c8a01e4134e0eac23507ecec90492ae63e8b42ade8b441d2460091fe9c1,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
39857c87fc5667ee38aaea81e04739cc919167ed01bd9d25e3141424cfda9507,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
63d5e604c26d0f6cd31d68cd3105c8bed126ac6b1a6b199682de03d70c49c7dd,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
a034231707d0c13e7edb063ab8ca1704f4a5722c7fa056b9248c6854b570746f,文學院,1,中國文學系,1001,4年級,"4  ",,"0  ",1042,"學士班              ",1
