學號,班一般名次,班一般人數,平均成績,鎖定排名,系所名稱,系一般名次,系一般人數,年級班別,組別,組一般名次,成績是否全到,班名次,班人數,系名次,系人數,組名次,組人數,學年
8bb28fa1e2d8b32be6b7f380f4336686d5a856448abcbee034d42b8f7265de05,"38 ","53 ",76.84,未鎖定,中國文學系,"38 ","53 ",4年級,,,成績全到,"36 ","51 ","36 ","51 ",,,103
79e23f25f18a4b264a1371509344892b933f5b6e601c4f7377d6f04e5d05790f,"51 ","53 ",70.85,未鎖定,中國文學系,"51 ","53 ",4年級,,,成績全到,"49 ","51 ","49 ","51 ",,,103
9c3dfea6cd1a49bcf35987c6cd3606d575a7ffdcb173a9022caee52a10137a8b,"17 ","53 ",81.20,未鎖定,中國文學系,"17 ","53 ",4年級,,,成績全到,"17 ","51 ","17 ","51 ",,,103
5ae6599f1b7e72df0dd86f30a28b127e8b47d8f74cca106ada43eff635fe8f5f,"4  ","53 ",86.28,未鎖定,中國文學系,"4  ","53 ",4年級,,,成績全到,"4  ","51 ","4  ","51 ",,,103
0c21d03d6c735139e857b495820abaa0ef4774839e9a71264a51f57103566f8b,"3  ","53 ",87.31,未鎖定,中國文學系,"3  ","53 ",4年級,,,成績全到,"3  ","51 ","3  ","51 ",,,103
79523898a4caef86215a0a8bb694e5427824fddc43bc5e177c790e5f4ff067bb,"13 ","53 ",82.88,未鎖定,中國文學系,"13 ","53 ",4年級,,,成績全到,"13 ","51 ","13 ","51 ",,,103
6062033cb9e306dcddd5ce1f45ec0b7220ec4e8d295102864c3bae20b2e3a97f,"49 ","53 ",72.79,未鎖定,中國文學系,"49 ","53 ",4年級,,,成績全到,"47 ","51 ","47 ","51 ",,,103
f29d3b270933f14b0edc9c585c5389a38f5bb74cb08e6160e851e83f11bf79a9,"12 ","53 ",83.24,未鎖定,中國文學系,"12 ","53 ",4年級,,,成績全到,"12 ","51 ","12 ","51 ",,,103
9b3505b83f0645d336b57fbe1deff4145ecb24985961561e7b0fc9534873cf1a,"10 ","53 ",83.75,未鎖定,中國文學系,"10 ","53 ",4年級,,,成績全到,"10 ","51 ","10 ","51 ",,,103
ddb70ad3ca3fbec45afaa31367a7ba2066fbb4baef18375b0ed474a165669a7e,"40 ","53 ",76.38,未鎖定,中國文學系,"40 ","53 ",4年級,,,成績全到,"38 ","51 ","38 ","51 ",,,103
28e0913c9b64c01174982e16e95eaa87dd3e5c70043fca03a64e56c8a12864c2,"46 ","53 ",73.52,未鎖定,中國文學系,"46 ","53 ",4年級,,,成績全到,"44 ","51 ","44 ","51 ",,,103
76800cf7fbd9fc999f7f521b316ba5fdbdf7ad0af02b77e0c6eaa37b6cf8e556,"52 ","53 ",70.40,未鎖定,中國文學系,"52 ","53 ",4年級,,,成績全到,"50 ","51 ","50 ","51 ",,,103
7b2d24da575c24f181540f81352b998ef375f2f13cea6f6893f9eef925dd0372,"29 ","57 ",82.41,未鎖定,英美語文學系,"29 ","57 ",4年級,,,成績全到,"26 ","54 ","26 ","54 ",,,103
257c730cb80d46ef186f53a8f5b52ce57d7b344afbbc5049454edaf23124ed95,"35 ","57 ",80.94,未鎖定,英美語文學系,"35 ","57 ",4年級,,,成績全到,"32 ","54 ","32 ","54 ",,,103
308eab8420c835e40b287ddf68ec7efbd9d4c0d87407457acd9e792d2ebd340d,"42 ","62 ",75.52,未鎖定,經濟學系,"42 ","62 ",4年級,,,成績全到,"38 ","57 ","38 ","57 ",,,103
7cbb9638fb6e06e19085444ae7f0fa4a045c839b4a79689383bb11a85375856b,"39 ","57 ",79.22,未鎖定,英美語文學系,"39 ","57 ",4年級,,,成績全到,"36 ","54 ","36 ","54 ",,,103
1692e5f5c3604cba9ae59cdf63300b37a7e695d2c1b1d7cf62a85d4e05c5477c,"28 ","57 ",82.64,未鎖定,英美語文學系,"28 ","57 ",4年級,,,部分未到,"25 ","54 ","25 ","54 ",,,103
f7fe63df363fea2ed2455620895923d2555fc46b8a7e82b1968e6445afc497ad,"15 ","57 ",85.03,未鎖定,英美語文學系,"15 ","57 ",4年級,,,部分未到,"15 ","54 ","15 ","54 ",,,103
c68bbee68f9aa517e7974282b77ae66f6c5ee04ff9861f0da8c0f43115886cf0,"12 ","57 ",85.44,未鎖定,英美語文學系,"12 ","57 ",4年級,,,部分未到,"12 ","54 ","12 ","54 ",,,103
ca49afc3c95b99498d9ae2f54fe55748463df1f7d193a8c2067625171cbc5e11,"6  ","57 ",87.04,未鎖定,英美語文學系,"6  ","57 ",4年級,,,成績全到,"6  ","54 ","6  ","54 ",,,103
e8d5f7ab3ea5e9504f5c3a0fdaf893bfafca21d1eebe3a91854eb7fc0588acbd,"27 ","57 ",82.72,未鎖定,英美語文學系,"27 ","57 ",4年級,,,成績全到,"24 ","54 ","24 ","54 ",,,103
70e688e29d1399a63d9a53d85ccc0076d50fb155d6e4cca4cc72e20c3857abb5,"7  ","57 ",86.37,未鎖定,英美語文學系,"7  ","57 ",4年級,,,成績全到,"7  ","54 ","7  ","54 ",,,103
a5d48789d960d249f2d4523d7a05d0b3ae4df6c93dfb1942116fe647cec02ab9,"56 ","57 ",74.56,未鎖定,英美語文學系,"56 ","57 ",4年級,,,成績全到,"53 ","54 ","53 ","54 ",,,103
ba0c4fed48fee440cbe01ad156c0d13f02831e55287895c8bcdde15d03eb8138,"37 ","57 ",80.60,未鎖定,英美語文學系,"37 ","57 ",4年級,,,成績全到,"34 ","54 ","34 ","54 ",,,103
236f4777cd369b1fa7380c5ce010e385231f6d8941e07194b236f96486fff7c8,"25 ","57 ",83.35,未鎖定,英美語文學系,"25 ","57 ",4年級,,,成績全到,"22 ","54 ","22 ","54 ",,,103
c78869cd98e9ff963b222cb7a684a6fbbb7552549b3f8717864dfc413ee70f72,"13 ","57 ",85.23,未鎖定,英美語文學系,"13 ","57 ",4年級,,,成績全到,"13 ","54 ","13 ","54 ",,,103
58bfb9999562031a9670d25b0cb650211fe683ee3c71361d34173d97f9123c39,"30 ","57 ",82.09,未鎖定,英美語文學系,"30 ","57 ",4年級,,,成績全到,"27 ","54 ","27 ","54 ",,,103
82dd3e4aefdf818597cd74bbf1e023edc302cd55f94ab761b31d6f0d8ac8db74,"2  ","57 ",89.41,未鎖定,英美語文學系,"2  ","57 ",4年級,,,成績全到,"2  ","54 ","2  ","54 ",,,103
192a873f4b6cf4ea8888a14f6dad6712fef8d8d2a078d1090719e56a9faec6ed,"3  ","57 ",88.78,未鎖定,英美語文學系,"3  ","57 ",4年級,,,成績全到,"3  ","54 ","3  ","54 ",,,103
ca2dfb87dab6ef52626456d38b89cb492ba71a183d9305dcee79f1392cbe334b,"23 ","57 ",83.63,未鎖定,英美語文學系,"23 ","57 ",4年級,,,成績全到,"21 ","54 ","21 ","54 ",,,103
b9430c8fc105ee881fb07af74616283b6a2176856e5e89d12c7544f855834b14,"11 ","57 ",85.93,未鎖定,英美語文學系,"11 ","57 ",4年級,,,成績全到,"11 ","54 ","11 ","54 ",,,103
