學號,課程屬性名稱,分發代碼,結束的分發時間,志願序,籤號,選課的結果,學期別,課號,學生班別,學生所屬系所,學生性別,學生年級
a56f5b35c1e91a999344e9b39ff960d21f36dc4087ba52a812dd540d56fc9832,必修,293,2013-10-01,1,0,人工加選,1021,32007,2,土木工程學系,男,2
0161a2f4474881c5894a7705a2e16ab608dce4c823ba93ff94dc5d152d401ad3,必修,293,2013-10-01,1,0,人工加選,1021,32007,2,土木工程學系,女,2
084484660477cc516ea63447bfb6db60c572c31bcc2128da4a5c31a2cc689ad2,必修,293,2013-10-01,1,0,人工加選,1021,32007,2,土木工程學系,女,2
e3ce6f01c6bab4f3014bdea48c2b0b21f746df3b0654091bfdd42b7813dab245,必修,293,2013-10-01,1,0,人工加選,1021,32007,2,土木工程學系,女,2
0cc7cdadbef9d3ae8fa71629c88b64279fa5c1a6bab4d5f28ed1d4ff475fb8bf,必修,293,2013-10-01,1,0,人工加選,1021,32007,2,土木工程學系,男,2
1658552db167e26e6cf9be4e5ea41a7488fc27f92c14981320cfa78e90acca7a,必修,293,2013-10-01,1,0,人工加選,1021,32007,2,土木工程學系,男,2
c7c3c5070de9285a3f9830d50a11174b22d426170c816300b639009918f412a8,必修,293,2013-10-01,1,0,人工加選,1021,32007,2,土木工程學系,男,2
81203da2f12dd0751734495de4724b331cd37dfab10575511a5ffc45c8c5587d,必修,293,2013-10-01,1,0,人工加選,1021,32007,2,土木工程學系,男,2
3bcb312075fba37103f715c8cde021aa5017c55ed92ebb477ac71e30b8ba424f,必修,293,2013-10-01,1,0,人工加選,1021,32007,2,土木工程學系,男,2
faefa05c9620030799d6b7f9fba4ab09a88713e2a6a686f42be38f69a1a96b41,必修,293,2013-10-01,1,0,人工加選,1021,32007,2,土木工程學系,男,2
57f2c00c290a777b07059f434d58b8607679622c32b39f0abf61e8f57f622960,必修,293,2013-10-01,1,21,中選,1021,13001,,法國語文學系,女,1
5e9032bdb445e7719b5a1ca6a27051ed17f7b295389c6ea69d3711b1fd16981a,必修,293,2013-10-01,1,24,中選,1021,13001,,法國語文學系,女,1
a307e2f166d9cc2153c3c84add93dcdd4cc8c28fb7943b02b064b308c2d74575,必修,293,2013-10-01,1,0,中選(密碼),1021,13001,,中國文學系,女,2
252d853bc7dfad25cbc7798630c86e415ec47ea28d18d4feaefb5c47dc1e7373,必修,293,2013-10-01,1,1,中選,1021,13002,,法國語文學系,女,1
2266c2ca8b8b53905a81532093c5ba2d0650c6c13dd4b0e8c53d698be0f83d6a,必修,293,2013-10-01,1,1,中選,1021,13002,,法國語文學系,女,1
9e1e29edf65abff9463b7b51068cb6bb482c11ad632a16cc2f50324a35dd1d07,必修,293,2013-10-01,1,2,中選,1021,13002,,法國語文學系,男,1
3aed697db0758d877582d0db9b1dd69259c28c354e9e239f2601b4bc0c1d10d4,必修,293,2013-10-01,1,5,中選,1021,13002,,法國語文學系,女,1
1c7cf43daf7d4ebe2dac470662a4eb9336e8c6990e9aa0d15ff425830d404d9b,必修,293,2013-10-01,1,7,中選,1021,13002,,法國語文學系,女,1
8cab77d0fc912d8e32bc95309b08ae8bf0937888612054ca1c09fd1c01da2ab5,必修,293,2013-10-01,1,8,中選,1021,13002,,法國語文學系,女,1
32bdceaeef7222d8f02e98e1d295fd29c9c79c20f99aeec860627f6e59792290,必修,293,2013-10-01,1,10,中選,1021,13002,,法國語文學系,女,1
24d90455d551e0206519d3592dc37eaaa06da3946e638a24d8cdce76e0a932ba,必修,293,2013-10-01,1,11,中選,1021,13002,,法國語文學系,女,1
19e8d14c926d98295e864f5d699071526a4e908dee485df6436b12d0ed0d72ef,必修,293,2013-10-01,1,12,中選,1021,13002,,法國語文學系,男,1
0e68598575aa3eb6ad77fd06412463168976cff14a01977c0b5c111c21e6ff94,必修,293,2013-10-01,1,13,中選,1021,13002,,法國語文學系,女,1
a4e28208f5841e6ea6b7ca3296c9edd45133ce9529805c6cf88f216cdbc10f9d,必修,293,2013-10-01,1,14,中選,1021,13002,,法國語文學系,女,1
e304a9711c3c6ec66040d1998e9ba4ec2a02ce0774fd286eaacf27339ad4b777,必修,293,2013-10-01,1,15,中選,1021,13002,,法國語文學系,女,1
13fe3a1d99fc9693f71cff1f93182eeff74ef388204601676641a9f2a71ae020,必修,293,2013-10-01,1,16,中選,1021,13002,,法國語文學系,女,1
def2c8d48987b07810a9fdc328ffd182d22ca80ee725baba8209033f08ce301a,必修,293,2013-10-01,1,17,中選,1021,13002,,法國語文學系,女,1
0f81690e1bfe20656fb5c622af955561fc0030575cc45c686d498d6ca9ad36b9,必修,293,2013-10-01,1,18,中選,1021,13002,,法國語文學系,男,1
a57b371357d4ce10269c56b10feb0875148afe9fbca7e9641ae0d3ee5b12554f,必修,293,2013-10-01,1,20,中選,1021,13002,,法國語文學系,女,1
6a472000a977385af5cd4f2abba72f01cb5842ff9945d9a0de70e9f065e9ce7b,必修,293,2013-10-01,1,22,中選,1021,13002,,法國語文學系,男,1
303a39db496dbcc99e1214ba98784983174393171da175eb6313a5b059503755,必修,293,2013-10-01,1,0,中選(密碼),1021,13002,,法國語文學系,女,2
22a71a5a4bb5566135c02300313647d8397d9597f42cbcf231007d438a0f5223,必修,293,2013-10-01,1,2,中選,1021,13003,,法國語文學系,男,1
72f9447df77cffb50250d59c824569360fbd34e44ef03bb389edf8797ef71f77,必修,293,2013-10-01,1,4,中選,1021,13003,,法國語文學系,女,1
c1666626a1de80e9691236e77f0f9d23ae285533b9bd9b114af69f08f5590f4c,必修,293,2013-10-01,1,5,中選,1021,13003,,法國語文學系,女,1
9f39a452365c759c2e536d5162f8af1aff53bf82f021ef14a26fe86e89c50c89,必修,293,2013-10-01,1,7,中選,1021,13003,,法國語文學系,女,1
bba697e4b8185ad7474aaad42754fba27279e0df70bd1bfc6a86a47caf7becba,必修,293,2013-10-01,1,8,中選,1021,13003,,法國語文學系,女,1
d846946b1c7c3b6d219509694e2fabbcc4ae986b2a47579d651c345be1e6efca,必修,293,2013-10-01,1,9,中選,1021,13003,,法國語文學系,女,1
f651aff897c6899ec7dc969b74cd3f4ece4f7b0d1b295af123ce4601268ef2a3,必修,293,2013-10-01,1,12,中選,1021,13003,,法國語文學系,女,1
992ca04372caccaac5ef186e51f0c82b08681613ee895e4f7363f4715a5aae0b,必修,293,2013-10-01,1,14,中選,1021,13003,,法國語文學系,女,1
f30ce38bebd58c496951acb5c69bc1e08c9e32637352db2b8e38a8d73c2847b9,必修,293,2013-10-01,1,15,中選,1021,13003,,法國語文學系,男,1
3dfb8f8e810d44732bb1855e5b1ecd699aff75fbaf4aaed50bf518897408e6bc,必修,293,2013-10-01,1,16,中選,1021,13003,,法國語文學系,女,1
106b238718fc1b6984722db9a93ee86c66af6ef448cb23a33ff1e834a33c23be,必修,293,2013-10-01,1,17,中選,1021,13003,,法國語文學系,男,1
88b40ecf049273deff7b5951c04763e821d59d159fad7c2412ca9ee1adaf5740,必修,293,2013-10-01,1,19,中選,1021,13003,,法國語文學系,女,1
8e9b040896d96dd77964701d2730ffa566f01caa75e7799f93a49ce8f7a0469d,必修,293,2013-10-01,1,20,中選,1021,13003,,法國語文學系,女,1
46445027e831375deb678f28e2b368f5764bede93795b118936dd2f12f32e8e6,必修,293,2013-10-01,1,22,中選,1021,13003,,法國語文學系,女,1
68e46cc1ee209654419bbf80451af4130a39e4192601752f6a300159c02cb188,必修,293,2013-10-01,1,23,中選,1021,13003,,法國語文學系,男,1
fa91ad5e191a9c1ffbc9323d04ccd6ea588c3a2dd3db8132ea47ca6b40efb60d,必修,293,2013-10-01,1,0,中選(密碼),1021,13003,1,企業管理學系,男,3
8c69fe689e1f49dc8545763d05bf232dd658d98845a5627025b24373a879bc1c,必修,293,2013-10-01,1,0,中選(密碼),1021,13003,2,資訊管理學系,男,2
3a7487e0259ccf42a269d6afaff6bdfe3425e9233ebfb9f3c49c8ca289a90e18,必修,293,2013-10-01,1,0,中選(密碼),1021,13003,,法國語文學系,女,1
6308d3c95add4b509e93f892e6f708aadb749776daf3f154c510c5a5182184a9,必修,293,2013-10-01,1,0,中選(密碼),1021,13003,,中國文學系,女,4
f75bc43a35240b1e00f49efc801710b27b428fde586742461adf80f62ff4042c,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
bba697e4b8185ad7474aaad42754fba27279e0df70bd1bfc6a86a47caf7becba,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
e304a9711c3c6ec66040d1998e9ba4ec2a02ce0774fd286eaacf27339ad4b777,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
50787b00c2f89f2e4e078e4f9ca6c6d71189fe840fe11ba8c05d7dc8905b6238,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
9f39a452365c759c2e536d5162f8af1aff53bf82f021ef14a26fe86e89c50c89,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
def2c8d48987b07810a9fdc328ffd182d22ca80ee725baba8209033f08ce301a,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
4a9a237ee418be337db4997507297975e3ffa2a3cac98aa300dde0afa6f2e627,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
46445027e831375deb678f28e2b368f5764bede93795b118936dd2f12f32e8e6,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
0e68598575aa3eb6ad77fd06412463168976cff14a01977c0b5c111c21e6ff94,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
2589e6a916f3ad52a785183840a74befe6576b9811b1495fb6214e827627da2d,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
c1666626a1de80e9691236e77f0f9d23ae285533b9bd9b114af69f08f5590f4c,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
1c7cf43daf7d4ebe2dac470662a4eb9336e8c6990e9aa0d15ff425830d404d9b,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
a7b032960be0f8434a522584f90184dd341137680375b9101e9caa1733b2b63b,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
d846946b1c7c3b6d219509694e2fabbcc4ae986b2a47579d651c345be1e6efca,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
6a472000a977385af5cd4f2abba72f01cb5842ff9945d9a0de70e9f065e9ce7b,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,男,1
be637c83ef55f090eb5733b8cd77c8cea841f43329e71d5100f1ecb8bf1dbb2e,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,男,1
68e46cc1ee209654419bbf80451af4130a39e4192601752f6a300159c02cb188,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,男,1
0f81690e1bfe20656fb5c622af955561fc0030575cc45c686d498d6ca9ad36b9,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,男,1
ddcb66d3ca0eb45e33da80e03b9ec54d29f6c1bc78d38fa0639d1f6d28b69707,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,男,1
5cb2a71a90ea66b1f19b627f6644342587f1aa78b75b18dd4122b0e8b8472342,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
f651aff897c6899ec7dc969b74cd3f4ece4f7b0d1b295af123ce4601268ef2a3,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
32bdceaeef7222d8f02e98e1d295fd29c9c79c20f99aeec860627f6e59792290,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
19d3dfb8ad5ec0380ab5e9fc32a70d75f9279d1bff1dcc82889030ceed188c45,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
72f9447df77cffb50250d59c824569360fbd34e44ef03bb389edf8797ef71f77,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,女,1
9e1e29edf65abff9463b7b51068cb6bb482c11ad632a16cc2f50324a35dd1d07,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,男,1
a03edbae8a47c3dbd04ca00e98f2eb0db51f7bb28e57bf75162b8150bca987a5,必修,293,2013-10-01,1,0,預選中選,1021,13004,,法國語文學系,男,1
2266c2ca8b8b53905a81532093c5ba2d0650c6c13dd4b0e8c53d698be0f83d6a,必修,293,2013-10-01,1,4,中選,1021,13004,,法國語文學系,女,1
a307e2f166d9cc2153c3c84add93dcdd4cc8c28fb7943b02b064b308c2d74575,必修,293,2013-10-01,1,0,中選(密碼),1021,13004,,中國文學系,女,2
252d853bc7dfad25cbc7798630c86e415ec47ea28d18d4feaefb5c47dc1e7373,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
5e9032bdb445e7719b5a1ca6a27051ed17f7b295389c6ea69d3711b1fd16981a,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
24d90455d551e0206519d3592dc37eaaa06da3946e638a24d8cdce76e0a932ba,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
876bff79105c872ac692d5ad06c54165480c04db6a723a82566cdd2262d24b05,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
8cab77d0fc912d8e32bc95309b08ae8bf0937888612054ca1c09fd1c01da2ab5,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
97a4253dd94594ff3fc85012acea88106264f8b3db1d433aa838d63fb617ee3a,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
88b40ecf049273deff7b5951c04763e821d59d159fad7c2412ca9ee1adaf5740,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
13fe3a1d99fc9693f71cff1f93182eeff74ef388204601676641a9f2a71ae020,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
57f2c00c290a777b07059f434d58b8607679622c32b39f0abf61e8f57f622960,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
3dfb8f8e810d44732bb1855e5b1ecd699aff75fbaf4aaed50bf518897408e6bc,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
a4e28208f5841e6ea6b7ca3296c9edd45133ce9529805c6cf88f216cdbc10f9d,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
29153dac6985f9c832a981bce92ebd16c3a73258abca11f7c339c76720b52c33,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,女,1
106b238718fc1b6984722db9a93ee86c66af6ef448cb23a33ff1e834a33c23be,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,男,1
19e8d14c926d98295e864f5d699071526a4e908dee485df6436b12d0ed0d72ef,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,男,1
779171ef37017d8506f8f0e8b9aca137293cccfa620748c9574fb3ad14c20422,必修,293,2013-10-01,1,0,預選中選,1021,13005,,法國語文學系,男,1
