學號,課程屬性名稱,分發代碼,結束的分發時間,志願序,籤號,選課的結果,學期別,課號,學生班別,學生所屬系所,學生性別,學生年級
433b93082efb07ca5de0e1d448d1db5970829a029d739638b3b903438a0ec59e,選修,419,2017-02-21,1,2,中選,1052,14003,1,數學系,男,2
029fd7d9b9ff5961c989b11b7e2fca8b8c57d3cc6604932cd8488698b16e4ccb,選修,419,2017-02-21,1,2,中選(初選),1052,14009,,經濟學系,男,4
eac07b9543de3959d4bb049128653d0d58ac349f18063f17a62d19954d84346f,選修,419,2017-02-21,1,2,中選,1052,14009,2,大氣科學學系,男,2
aad84666f6e5a031ec616a25928ab25b5d22b4da76da7ab1ce603b6e69a63d6e,選修,419,2017-02-21,1,2,中選,1052,14009,,哲學研究所碩士班,男,1
80693f12f46331845d43005dd0d07fa93457f8b3d8d4993db46ede4e5bf16a35,選修,419,2017-02-21,1,3,中選(初選),1052,14009,1,大氣科學學系,女,3
cc52942352ef0e1a94381c02ce0433a4666bb0e835e5192af0f2dc054d8b1fd1,選修,419,2017-02-21,1,4,中選(初選),1052,14009,,英美語文學系,女,3
345fe397665918dc14792626a01d82a86703c6ab22ba6cf12a01f973672e094e,選修,419,2017-02-21,1,5,中選(初選),1052,14009,,物理學系,男,3
3ee7f98b4413298a79d55cc804116271f937274bb22714fd10ac268c074a010b,選修,419,2017-02-21,1,7,中選(初選),1052,14009,,中國文學系,男,3
685889ad60fc3869109e040d451b08f7ea31481c93f1d0a023e7c6ea40de9fe0,選修,419,2017-02-21,1,8,中選(初選),1052,14009,2,機械工程學系,男,4
e3f4ec01324bd8dc6a646c7e2d47562958674dccb30652d72b53631334a67b19,選修,419,2017-02-21,1,9,中選(初選),1052,14009,2,大氣科學學系,男,2
c973e294569bb973382520388c1138838fcbc5750a2a3153fabcd898cd5a52fa,選修,419,2017-02-21,1,12,中選(初選),1052,14009,,物理學系,男,2
63a53430ea001008732b18a4de351a7a087d5123455a2cef749e2e145cbac41c,選修,419,2017-02-21,1,14,中選(初選),1052,14009,2,機械工程學系,男,4
